Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Araku,18.3207,82.8814,01-05-03,11.5,pre-monsoon_1994-2003_chunk_0001-0050.pdf,tabula,3,nan
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Arukuvalley,18.31972,82.88361,23-05-03,6.2,pre-monsoon_1994-2003_chunk_0001-0050.pdf,tabula,3,nan
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Chintapalli,17.86889,82.35306,24-05-03,12.7,pre-monsoon_1994-2003_chunk_0001-0050.pdf,tabula,3,nan
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Chintapalli,17.87083,82.35417,01-05-03,19.0,pre-monsoon_1994-2003_chunk_0001-0050.pdf,tabula,3,nan
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lambasingi,17.8071,82.4959,01-05-03,4.8,pre-monsoon_1994-2003_chunk_0001-0050.pdf,tabula,3,nan
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lotugadda,17.8554,82.4361,01-05-03,2.8,pre-monsoon_1994-2003_chunk_0001-0050.pdf,tabula,4,nan
Andhra Pradesh,Alluri Sitharama Raju,Devipatnam,Devipatnam,17.31778,81.66667,16-05-03,4.3,pre-monsoon_1994-2003_chunk_0001-0050.pdf,tabula,4,nan
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,Dimriguda,18.2885,82.7921,01-05-03,8.1,pre-monsoon_1994-2003_chunk_0001-0050.pdf,tabula,4,nan
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,Dumbriguda,18.28722,82.79306,23-05-03,6.6,pre-monsoon_1994-2003_chunk_0001-0050.pdf,tabula,4,nan
Andhra Pradesh,Alluri Sitharama Raju,Gangavaram,Gangavaram,17.4262,81.9133,01-05-01,7.5,pre-monsoon_1994-2003_chunk_0001-0050.pdf,tabula,5,nan
Andhra Pradesh,Alluri Sitharama Raju,Gudem Kotha Veedhi,Dharakonda,17.9996,82.1252,01-05-03,8.7,pre-monsoon_1994-2003_chunk_0001-0050.pdf,tabula,5,nan
Andhra Pradesh,Alluri Sitharama Raju,Gudem Kotha Veedhi,G.K.Veedhi,17.86028,82.19889,24-05-03,14.0,pre-monsoon_1994-2003_chunk_0001-0050.pdf,tabula,5,nan
Andhra Pradesh,Alluri Sitharama Raju,Gudem Kotha Veedhi,Gudem,17.863,82.1957,01-05-03,2.6,pre-monsoon_1994-2003_chunk_0001-0050.pdf,tabula,5,nan
